ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_004_DCM_0.22-1.6_G	TARA_004_DCM	Pico	DCM	Westerlies	NAO	36.5533	-6.5669	40	11	16.3584	36.5811	NA	NA	NA	0.535777	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_004_SRF_0.22-1.6_G	TARA_004_SRF	Pico	SRF	Westerlies	NAO	36.5533	-6.5669	9	12	20.238088	36.599199	NA	NA	NA	0.180403	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_007_DCM_0.22-1.6_G	TARA_007_DCM	Pico	DCM	Westerlies	MS	37.0541	1.9478	42	18	17.521075	37.1036	0.0065	0.028	0.4985	0.338691	0.008444782830910713	0	0	0.3843452570790487	0	0.02098636559919346	0	0	0	0	0	0.0598627477747488	0
TARA_007_SRF_0.22-1.6_G	TARA_007_SRF	Pico	SRF	Westerlies	MS	37.051	1.9378	9	18	23.8141	37.522	0.0475	0.14325	0.7935	0.189348	0	0	0	0.13299549682249062	0	0	0	0	0	0	0	0.095072028421621907	0
TARA_009_DCM_0.22-1.6_G	TARA_009_DCM	Pico	DCM	Westerlies	MS	39.0734	5.8598	55	25	15.9708	37.68195	NA	NA	NA	0.442902	0	0	0	0.0322112352549371	0	0.046038725776089966	0	0	0	0	0.057439440680821	0.3334778416132033	0
TARA_009_SRF_0.22-1.6_G	TARA_009_SRF	Pico	SRF	Westerlies	MS	39.1633	5.916	9	25	24.4828	37.8042	NA	NA	NA	0.136232	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_018_DCM_0.22-1.6_G	TARA_018_DCM	Pico	DCM	Westerlies	MS	35.7606	14.2522	65	50	18.180712	37.975525	0.0131	NA	0.6201	0.084571	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_018_SRF_0.22-1.6_G	TARA_018_SRF	Pico	SRF	Westerlies	MS	35.759	14.2574	5	51	21.48665	37.89575	0.0256	0.118	0.5571	0.013344	0	0	0	0	0	0	0.10454484083936853	0.22742619697282818	0.12954305239786137	0.3136006432862468	0	0	0
TARA_023_DCM_0.22-1.6_G	TARA_023_DCM	Pico	DCM	Westerlies	MS	42.1735	17.7252	55	12	15.180558	38.47375	0.012	0.05	1.0505	0.136877	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_023_SRF_0.22-1.6_G	TARA_023_SRF	Pico	SRF	Westerlies	MS	42.2038	17.715	5	16	17.211742	38.22805	0.012	0.040875	1.372375	0.103935	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_025_DCM_0.22-1.6_G	TARA_025_DCM	Pico	DCM	Westerlies	MS	39.4085	19.3807	50	31	15.181967	38.489083	NA	0.3595	1.354	0.134028	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_025_SRF_0.22-1.6_G	TARA_025_SRF	Pico	SRF	Westerlies	MS	39.3888	19.3905	5	30	18.319192	38.185333	0.00525	0.03525	1.0505	0.104797	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_030_DCM_0.22-1.6_G	TARA_030_DCM	Pico	DCM	Westerlies	MS	33.9189	32.8532	70	29	18.21473	39.20842	0	NA	0.6655	0.102631	0	0	0	0	0	0	0	0	0	0	0	0	0
