ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_009_SRF_0.22-1.6_G_C13632324_1_gene544040	TARA_032_DCM_0.22-1.6_G_C14529078_1_gene362201	TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	TARA_066_DCM_0.22-3_G_C6093718_1_gene228890	TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	TARA_066_DCM_lt-0.22_G_scaffold39761_1_gene18411	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_DCM_lt-0.22_G_C3732186_1_gene131192	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_066_SRF_lt-0.22_G_scaffold134741_2_gene112059	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_067_SRF_0.22-0.45_G_C17360860_1_gene463670	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	TARA_067_SRF_0.22-0.45_G_scaffold66976_1_gene63193	TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_067_SRF_0.45-0.8_G_scaffold277311_1_gene324113	TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_082_DCM_0.22-3_G_C19456620_1_gene406327	TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_082_SRF_0.22-3_G_scaffold42092_1_gene40922	TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	TARA_133_DCM_0.22-3_G_scaffold328164_1_gene387933	TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069	TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	TARA_146_SRF_0.22-3_G_C15427777_1_gene470766	TARA_149_SRF_0.22-3_G_C18390232_1_gene602455	TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	TARA_168_DCM_0.22-3_G_scaffold99293_1_gene106802	TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	TARA_175_SRF_0.22-3_G_scaffold78409_1_gene83052	TARA_180_SRF_0.22-3_G_C7013134_1_gene356550	TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	TARA_180_SRF_0.22-3_G_scaffold81862_1_gene125059	TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	TARA_188_DCM_lt-0.22_G_scaffold9244_6_gene34612	TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	TARA_194_DCM_lt-0.22_G_scaffold15132_1_gene46748	TARA_196_SRF_0.22-3_G_C19417491_1_gene628839	TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	TARA_196_SRF_lt-0.22_G_C13109979_1_gene420651	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	TARA_196_SRF_lt-0.22_G_scaffold243857_1_gene356831	TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	TARA_206_SRF_lt-0.22_G_scaffold244093_1_gene399527	TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	TARA_206_SRF_lt-0.22_G_scaffold67020_2_gene178808	TARA_208_SRF_0.22-3_G_C17804651_1_gene477260	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_209_SRF_lt-0.22_G_scaffold95791_3_gene212186	TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	TARA_210_SRF_0.22-3_G_scaffold21461_1_gene17795	TARA_210_SRF_lt-0.22_G_scaffold207559_1_gene458458	TARA_210_SRF_lt-0.22_G_scaffold9078_2_gene48755
TARA_004_DCM_0.22-1.6_G	TARA_004_DCM	Pico	DCM	Westerlies	NAO	36.5533	-6.5669	40	11	16.3584	36.5811	NA	NA	NA	0.535777	0	0	0	0	0	0	0	0.7533553785275875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10178510568352013	0	0	0	0	0	0	0	0	0	0	0	0.08093650255769588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0639230132311964	0	0	0	0	0	0	0	0	0	0
TARA_004_SRF_0.22-1.6_G	TARA_004_SRF	Pico	SRF	Westerlies	NAO	36.5533	-6.5669	9	12	20.238088	36.599199	NA	NA	NA	0.180403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_007_DCM_0.22-1.6_G	TARA_007_DCM	Pico	DCM	Westerlies	MS	37.0541	1.9478	42	18	17.521075	37.1036	0.0065	0.028	0.4985	0.338691	0.016415918471578844	0	0	0	0	0	0	0.021191281338546433	0	0	0	0	0	0	0	0	0	0	0.00815536168453731	0	0	0	0	0	0	0	0	0	0.008745844607413757	0	0	0	0	0	0.02627265769616662	0	0	0.02098636559919346	0	0	0.015777399482027266	0.1109435224928737	0	0	0	0	0	0	0.010012546018126033	0	0	0	0	0	0.3843452570790487	0.06134938203710992	0.0598627477747488	0	0	0.02438127792700004	0	0	0	0	0	0	0.02140161042399682	0	0	0.20171404453672154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008444782830910713	0	0	0	0	0	0
TARA_007_SRF_0.22-1.6_G	TARA_007_SRF	Pico	SRF	Westerlies	MS	37.051	1.9378	9	18	23.8141	37.522	0.0475	0.14325	0.7935	0.189348	0.1498095410596543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10359584345285767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13299549682249062	0	0.095072028421621907	0	0	0	0	0	0	0	0	0	0	0	0	0.5185270902433754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_009_DCM_0.22-1.6_G	TARA_009_DCM	Pico	DCM	Westerlies	MS	39.0734	5.8598	55	25	15.9708	37.68195	NA	NA	NA	0.442902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013838311081297064	0	0	0	0	0	0.053261709368283214	0	0	0.046038725776089966	0	0	0	0.09751573291550929	0	0	0	0	0	0	0	0	0	0	0	0	0.0322112352549371	0	0.3334778416132033	0	0.007649683784291263	0	0	0	0	0.057439440680821	0	0	0	0	0	0.3347709185842804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023796400941287477	0	0	0	0	0	0	0	0	0	0
TARA_009_SRF_0.22-1.6_G	TARA_009_SRF	Pico	SRF	Westerlies	MS	39.1633	5.916	9	25	24.4828	37.8042	NA	NA	NA	0.136232	0.936373452874427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06362654712557297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_018_DCM_0.22-1.6_G	TARA_018_DCM	Pico	DCM	Westerlies	MS	35.7606	14.2522	65	50	18.180712	37.975525	0.0131	NA	0.6201	0.084571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5941626980636574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40583730193634265	0	0	0	0	0	0	0
TARA_018_SRF_0.22-1.6_G	TARA_018_SRF	Pico	SRF	Westerlies	MS	35.759	14.2574	5	51	21.48665	37.89575	0.0256	0.118	0.5571	0.013344	0	0	0	0	0	0	0	0	0	0.10454484083936853	0	0.22742619697282818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12954305239786137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3136006432862468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22488526650369517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_023_DCM_0.22-1.6_G	TARA_023_DCM	Pico	DCM	Westerlies	MS	42.1735	17.7252	55	12	15.180558	38.47375	0.012	0.05	1.0505	0.136877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7003383276945383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2996616723054618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_023_SRF_0.22-1.6_G	TARA_023_SRF	Pico	SRF	Westerlies	MS	42.2038	17.715	5	16	17.211742	38.22805	0.012	0.040875	1.372375	0.103935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
