id	id2	correlation
324291	93778	0.944701731
95118	62626	0.893273413
161791	86790	0.784191358
37357	28561	0.778219223
63157	28353	0.758140802
135756	196990	0.727705334
70596	215019	0.71827513
108598	28565	0.708717585
165998	244723	0.706549406
103383	28565	0.695525467
225531	161791	0.68821013
172342	227544	0.685754001
680235	363817	0.67441303
15360	28561	0.667380452
13168	10722	0.663588548
3917	2706	0.659592748
320504	154806	0.656575921
88033	76484	0.653668225
256097	320504	0.648955232
208416	67285	0.623073697
20774	33762	0.618263752
34187	168118	0.614376986
59652	108712	0.61246617
165998	59652	0.612418315
22917	76751	0.606368899
3688	167	0.595589459
215019	300098	0.594526291
3688	91484	0.58163023
116658	85748	0.572502873
165998	193957	0.565471172
341474	320504	0.563870567
163596	161791	0.563847721
394955	161791	0.559486322
196990	154806	0.558807275
90837	46460	0.557583869
175017	190871	0.554841936
89570	320504	0.554754566
300047	38345	0.551730954
720	4399	0.548070133
385103	244723	0.544292596
18581	85156	0.541657209
97923	47502	0.541136205
680235	193957	0.539058314
28411	139233	0.538908116
22917	90330	0.53838253
85748	363817	0.521450758
370745	196990	0.520614167
194681	52574	0.515825927
59652	232084	0.510491682
55864	132386	0.508609379
370745	115747	0.503751814
116658	385103	0.503581292
22226	185315	0.503039598
6799	90330	0.50114423
208229	93778	0.492851347
193957	385103	0.49176114
23993	62626	0.488541342
117307	117133	0.483639419
116658	86790	0.480458766
268780	154806	0.479645413
47502	1918	0.477920234
70596	46460	0.476851732
2706	167	0.476053047
48132	276132	0.476044744
28565	309018	0.469979256
96238	62578	0.468593746
341474	117307	0.465141654
232617	300098	0.463262121
76484	17964	0.460752696
88033	306661	0.460128337
106013	68457	0.457315177
292620	232084	0.455280937
341474	370745	0.450569459
2149	47502	0.44856367
227544	276132	0.448366761
576976	365622	0.448318061
13168	28353	0.448122072
370745	300098	0.445595795
116658	576976	0.439134679
225531	276132	0.438283519
39183	175017	0.436392993
172342	46460	0.435794204
24854	62626	0.434542656
72317	28474	0.431308657
292620	319205	0.431213826
300047	70592	0.42743203
85748	133679	0.417749941
8842	37016	0.416121485
292620	183608	0.414479966
28411	8842	0.413214294
139233	44189	0.410634071
85156	34187	0.410347313
53314	276684	0.406218196
89570	268780	0.400743123
55864	175017	0.398619711
256097	385103	0.398253793
370745	161791	0.394605462
115509	256097	0.39001894
256097	306661	0.387598127
208229	96238	0.387501186
5967	6220	0.385166496
135756	10722	0.379136343
64597	67285	0.378729433
20774	13744	0.376762867
90837	276132	0.376137904
276684	22663	0.374069676
115509	48132	0.372506201
370745	365622	0.370531175
97923	23993	0.369344592
215019	117307	0.369080037
394955	48132	0.366252548
53314	6220	0.366058498
108598	67285	0.36263055
232617	365622	0.360521718
680235	141899	0.359779259
3397	14215	0.357262462
90837	89570	0.356143355
309018	385103	0.355841398
8432	1918	0.354368865
292620	363817	0.346529208
103383	115747	0.345729172
680235	227544	0.345388061
53314	22663	0.343910605
23440	3511	0.343504518
90330	28474	0.340866357
64597	163596	0.340447158
165998	196990	0.339851221
28561	76751	0.338529468
5064	28353	0.338446617
79121	133679	0.337747991
165998	268780	0.335420041
6799	2149	0.334699561
16618	103383	0.332914203
215019	96238	0.332865208
117133	33762	0.331755379
182593	108598	0.328447123
175017	14417	0.32749993
23440	28565	0.327202561
16618	244723	0.326930918
232617	320504	0.324127244
208229	576976	0.324010283
306661	62578	0.322371841
37016	319205	0.322085947
196990	108712	0.321404053
16618	5064	0.32134974
394955	141899	0.320938226
341474	276132	0.319768855
102161	60313	0.316000313
8432	18581	0.312695206
89570	319205	0.311377902
103383	63157	0.311265886
8842	5064	0.310986317
44189	68457	0.309435934
720	6799	0.308921893
256097	86790	0.308263038
276684	21039	0.307466767
28411	185315	0.306702137
33762	96238	0.305776299
183608	324291	0.303810588
108712	300098	0.303459086
300047	39183	0.299952567
292620	268780	0.299884548
182593	132386	0.299362408
183608	320504	0.298915923
18549	10722	0.294812649
13168	225531	0.294071889
3511	13168	0.293929878
6220	21039	0.293677957
14417	28353	0.293590963
168118	62626	0.292700704
20774	14215	0.292235201
163596	190871	0.287255897
208229	324291	0.286808885
385103	96238	0.285405994
23440	28353	0.284194354
97923	168118	0.283803076
23993	24854	0.2834934
18549	133679	0.283180535
115509	10722	0.28306047
168118	47502	0.28263934
93778	365622	0.282617893
276684	22226	0.279661126
244723	300098	0.274608479
37016	108712	0.271457704
154806	276132	0.269918783
394955	96238	0.269653218
115509	190871	0.267145783
135756	86790	0.265800387
141899	324291	0.265334529
8432	47502	0.265304625
