id	id2	correlation
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	0.998199062
TARA_196_SRF_0.22-3_G_C19417491_1_gene628839	TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	0.994148791
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	0.907475541
TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	0.907328069
TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	TARA_149_SRF_0.22-3_G_C18390232_1_gene602455	0.902502418
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	0.900892592
TARA_188_DCM_lt-0.22_G_scaffold9244_6_gene34612	TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	0.845525501
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	0.818029046
TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	0.782974243
TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	0.76498095
TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	TARA_209_SRF_lt-0.22_G_scaffold95791_3_gene212186	0.758354008
TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	0.754069801
TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	0.750000389
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	0.730478404
TARA_175_SRF_0.22-3_G_scaffold78409_1_gene83052	TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	0.727119491
TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	0.715084073
TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	0.714966116
TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	0.713025794
TARA_194_DCM_lt-0.22_G_scaffold15132_1_gene46748	TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	0.692415928
TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	0.674563706
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	0.668901166
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	0.659978092
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	0.658012757
TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	0.631796777
TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	0.625775195
TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	0.620278202
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_210_SRF_lt-0.22_G_scaffold9078_2_gene48755	0.615878812
TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	0.613102198
TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	0.593930959
TARA_066_SRF_lt-0.22_G_scaffold134741_2_gene112059	TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	0.592883229
TARA_032_DCM_0.22-1.6_G_C14529078_1_gene362201	TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	0.592577577
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	0.589366019
TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	0.581977069
TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	0.572556138
TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	TARA_146_SRF_0.22-3_G_C15427777_1_gene470766	0.566239119
TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	0.552683119
TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	0.548241794
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	0.54787836
TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	0.535887551
TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	TARA_210_SRF_lt-0.22_G_scaffold207559_1_gene458458	0.530079067
TARA_066_DCM_0.22-3_G_C6093718_1_gene228890	TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	0.529341161
TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	0.529106284
TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	0.525067806
TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	0.521407683
TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	0.513664722
TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	0.513429656
TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	0.511127102
TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	TARA_206_SRF_lt-0.22_G_scaffold244093_1_gene399527	0.50240777
TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	0.494270921
TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	0.489653081
TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	0.477254659
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	0.476398945
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	0.473703444
TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	0.462642748
TARA_206_SRF_lt-0.22_G_scaffold244093_1_gene399527	TARA_206_SRF_lt-0.22_G_scaffold67020_2_gene178808	0.462169141
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	0.461485952
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	TARA_206_SRF_lt-0.22_G_scaffold67020_2_gene178808	0.457169526
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	0.451868057
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	0.450008839
TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	TARA_168_DCM_0.22-3_G_scaffold99293_1_gene106802	0.446118742
TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	0.445145653
TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	0.440578759
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_210_SRF_lt-0.22_G_scaffold207559_1_gene458458	0.427137137
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	0.419169508
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	0.396313243
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	0.393871463
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	TARA_206_SRF_lt-0.22_G_scaffold67020_2_gene178808	0.390477449
TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	0.389187238
TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	0.386092216
TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	0.385614097
TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	0.381205036
TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	0.380293995
TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	0.380222731
TARA_168_DCM_0.22-3_G_scaffold99293_1_gene106802	TARA_210_SRF_lt-0.22_G_scaffold207559_1_gene458458	0.378062963
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	0.369362265
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	0.368876427
TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	0.367702504
TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	0.366121956
TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	0.365948306
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	0.36120754
TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	0.357326425
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.351055458
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	0.347677136
TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	0.341908574
TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_210_SRF_lt-0.22_G_scaffold9078_2_gene48755	0.339445472
