otu	mean_freq	max_freq	opt_temp	thermotype
797238	6.83475610172851e-6	6.4246707356248e-4	16.75627	medium
137586	3.128911138923654e-4	0.02941176470588235	12.821535	medium
347615	1.7351369040368655e-7	1.6310286897946536e-5	1.365705	low
53314	5.8335579573404687e-5	0.00222717149220489	1.9034	low
276684	2.6045352447502063e-5	0.00222717149220489	1.9034	low
693604	6.863417982155113e-7	6.451612903225807e-5	11.09547	medium
682025	0	0	16.3584	medium
105614	1.851827427207249e-5	0.00143472022955523	1.457935	low
394052	1.8445162837049844e-6	9.688514266337258e-5	2.496125	low
55864	3.8231031111369374e-5	9.032258064516128e-4	11.09547	medium
629525	1.8802223174868195e-6	1.7674089784376103e-4	15.9708	medium
28411	1.4254435248425588e-4	0.00472044477079618	8.47447	low
182593	7.180018386055989e-6	3.825920612147298e-4	1.457935	low
236274	2.488490730372029e-4	0.02339181286549707	24.778725	high
613601	6.863417982155113e-7	6.451612903225807e-5	11.09547	medium
139233	2.239684059102398e-5	5.091649694501018e-4	10.876965	medium
102161	2.2102131535742817e-4	0.02	18.180712	medium
300047	9.914672807264517e-6	4.084967320261438e-4	7.579417	low
44189	9.937092571938937e-5	0.0010183299389002	10.876965	medium
503295	1.1488442626717446e-5	0.00107991360691144	14.31916	medium
492890	2.9182305787338008e-6	2.097975453687192e-4	8.47447	low
788649	1.1159443902591447e-6	1.048987726843596e-4	8.47447	low
186209	1.802286188474656e-6	1.048987726843596e-4	8.47447	low
707067	0	0	16.3584	medium
99837	0	0	16.3584	medium
497764	0	0	16.3584	medium
661892	1.9063669976103911e-6	1.048987726843596e-4	8.47447	low
673211	0	0	16.3584	medium
363460	4.266952935915788e-6	2.097975453687192e-4	8.47447	low
317109	3.2499891667027766e-5	0.00305498981670061	10.876965	medium
720	0.16730585040941587	0.981368454866688	16.75627	medium
509776	1.2953999373193563e-4	0.01063829787234042	30.12785	high
652185	0	0	16.3584	medium
95436	2.7000756021168512e-5	0.00253807106598984	19.32335	medium
808737	9.278934036057938e-6	8.722197993894462e-4	26.12925	high
15360	0.03470081040192848	0.8765432098765432	22.233095	high
193273	1.8517489769086902e-6	1.7406440382941688e-4	13.04322	medium
812659	0	0	16.3584	medium
225738	0	0	16.3584	medium
469580	2.0391600292007714e-6	1.9168104274487253e-4	20.481195	high
756374	1.3248191621843616e-5	0.0012453300124533	21.48665	high
556396	0	0	16.3584	medium
6799	0.011829255162491486	0.2927272727272727	27.635025	high
634169	3.9888630942408794e-6	3.749531308586427e-4	17.521075	medium
2149	0.21224116220724717	0.9607501090274748	26.12925	high
593638	0	0	16.3584	medium
350744	2.2318887805182894e-6	2.097975453687192e-4	8.47447	low
106013	2.2387272474212527e-4	0.01886792452830188	13.874505	medium
392524	0	0	16.3584	medium
70592	1.0963420540004894e-5	8.169934640522876e-4	7.579417	low
64140	1.8517489769086902e-6	1.7406440382941688e-4	13.04322	medium
289086	4.447903770754128e-5	0.00262743037309511	-1.53136	low
50769	0	0	16.3584	medium
23440	3.835823336165821e-4	0.01304347826086956	-0.405775	low
495383	0	0	16.3584	medium
281840	0	0	16.3584	medium
726725	1.1783257794234256e-4	0.00709219858156028	30.12785	high
361528	0	0	16.3584	medium
679143	3.1015445691954575e-5	0.00291545189504373	17.211742	medium
300596	0	0	16.3584	medium
104248	3.1015445691954575e-5	0.00291545189504373	17.211742	medium
702372	0	0	16.3584	medium
707512	0	0	16.3584	medium
138514	0	0	16.3584	medium
53433	3.861196367743014e-4	0.03563474387527839	1.9034	low
547137	0	0	16.3584	medium
172342	4.5074169958318085e-6	2.4221285665843145e-4	2.496125	low
518172	1.7351369040368655e-7	1.6310286897946536e-5	1.365705	low
340990	2.0810441847301304e-6	1.9561815336463224e-4	-0.479225	low
145003	1.0600196763491726e-4	0.00943396226415094	13.874505	medium
367524	0	0	16.3584	medium
341474	4.818579169402846e-7	3.262057379589307e-5	1.365705	low
702590	7.904226073512464e-7	7.429972509101716e-5	1.48885	low
707882	8.138232766478293e-7	7.649938800489595e-5	3.1965	low
558561	0	0	16.3584	medium
599444	1.7351369040368655e-7	1.6310286897946536e-5	1.365705	low
199140	7.92440913881878e-7	6.524114759178614e-5	1.365705	low
152330	0	0	16.3584	medium
90837	6.427251027148835e-6	2.891844997108155e-4	1.899612	low
640550	0	0	16.3584	medium
18549	7.477408310232908e-5	0.00330396475770925	-0.987833	low
3688	0.011651878953517552	0.1854043392504931	7.48766	low
39183	6.811058590627091e-5	0.002465483234714	7.48766	low
8842	4.2479441421636253e-4	0.00956480153036824	1.457935	low
764751	0	0	16.3584	medium
367973	0	0	16.3584	medium
728916	0	0	16.3584	medium
490499	2.3444767878042194e-7	2.203808180535966e-5	-0.585333	low
359094	0	0	16.3584	medium
317133	7.671321574294201e-6	5.254860746190226e-4	-1.53136	low
357338	4.9144374355421895e-6	2.7148092846477533e-4	17.303005	medium
709215	0	0	16.3584	medium
208416	7.387425971714234e-6	5.694760820045558e-4	5.295265	low
154742	1.0175320776987492e-6	9.564801530368244e-5	1.457935	low
37016	4.0490079776719803e-5	0.00191470844212358	13.04322	medium
87499	1.0532968190436064e-4	0.0099009900990099	26.586685	high
735606	0	0	16.3584	medium
267245	3.9354460906852714e-7	3.699319325244155e-5	-1.53759	low
72317	8.320579059220945e-4	0.05263157894736842	27.558763	high
467896	0	0	16.3584	medium
255608	0	0	16.3584	medium
81604	2.645178630994408e-6	1.529987760097919e-4	3.1965	low
136343	9.579345230702001e-6	5.178663904712584e-4	-1.29785	low
312820	0	0	16.3584	medium
338758	0	0	16.3584	medium
167379	1.1783257794234256e-4	0.00709219858156028	30.12785	high
182589	4.688953575608439e-7	4.407616361071932e-5	-0.585333	low
70596	3.142461307992775e-6	1.4459224985540774e-4	1.899612	low
477182	0	0	16.3584	medium
3397	0.002808864734135779	0.08254283965728273	3.1965	low
292620	1.1191224966405328e-6	6.469560716827328e-5	2.5694	low
638053	0	0	16.3584	medium
317732	8.675684520184328e-7	8.155143448973268e-5	1.365705	low
80643	0	0	16.3584	medium
226215	1.31289809458359e-5	8.256274768824307e-4	7.481658	low
3917	0.018789005804405307	0.4187082405345211	1.9034	low
91484	4.1650546646005993e-4	0.02040816326530612	19.77001	medium
60313	0.005345719311321788	0.2553191489361702	15.180558	medium
793275	0	0	16.3584	medium
461751	0	0	16.3584	medium
648848	0	0	16.3584	medium
55580	7.532308164974311e-6	5.659309564233164e-4	16.8858	medium
249938	0	0	16.3584	medium
280855	1.2022322294043592e-4	0.01113585746102449	1.9034	low
114349	5.85809354203768e-6	5.506607929515419e-4	-0.987833	low
37357	0.00278522240174297	0.1276595744680851	15.180558	medium
73457	1.6665740792178194e-5	0.00156657963446475	13.04322	medium
