ids	clade	subclade	domain
797238	Micromonas_A	Micromonas_A1	Eukaryota
137586	Micromonas_A	Micromonas_A1	Eukaryota
347615	Micromonas_A	Micromonas_A1	Eukaryota
53314	Micromonas_A	Micromonas_A1	Eukaryota
276684	Micromonas_A	Micromonas_A1	Eukaryota
693604	Micromonas_A	Micromonas_A1	Eukaryota
682025	Micromonas_A	Micromonas_A1	Eukaryota
105614	Micromonas_A	Micromonas_A1	Eukaryota
394052	Micromonas_A	Micromonas_A1	Eukaryota
55864	Micromonas_A	Micromonas_A1	Eukaryota
629525	Micromonas_A	Micromonas_A1	Eukaryota
28411	Micromonas_A	Micromonas_A1	Eukaryota
182593	Micromonas_A	Micromonas_A1	Eukaryota
236274	Micromonas_A	Micromonas_A1	Eukaryota
613601	Micromonas_A	Micromonas_A1	Eukaryota
139233	Micromonas_A	Micromonas_A1	Eukaryota
102161	Micromonas_A	Micromonas_A1	Eukaryota
300047	Micromonas_A	Micromonas_A1	Eukaryota
44189	Micromonas_A	Micromonas_A1	Eukaryota
503295	Micromonas_A	Micromonas_A1	Eukaryota
492890	Micromonas_A	Micromonas_A1	Eukaryota
788649	Micromonas_A	Micromonas_A1	Eukaryota
186209	Micromonas_A	Micromonas_A1	Eukaryota
707067	Micromonas_A	Micromonas_A1	Eukaryota
99837	Micromonas_A	Micromonas_A1	Eukaryota
497764	Micromonas_A	Micromonas_A1	Eukaryota
661892	Micromonas_A	Micromonas_A1	Eukaryota
673211	Micromonas_A	Micromonas_A1	Eukaryota
363460	Micromonas_A	Micromonas_A1	Eukaryota
317109	Micromonas_A	Micromonas_A1	Eukaryota
720	Micromonas_A	Micromonas_A1	Eukaryota
509776	Micromonas_A	Micromonas_A2	Eukaryota
652185	Micromonas_A	Micromonas_A2	Eukaryota
95436	Micromonas_A	Micromonas_A2	Eukaryota
808737	Micromonas_A	Micromonas_A2	Eukaryota
15360	Micromonas_A	Micromonas_A2	Eukaryota
193273	Micromonas_A	Micromonas_A2	Eukaryota
812659	Micromonas_A	Micromonas_A2	Eukaryota
225738	Micromonas_A	Micromonas_A2	Eukaryota
469580	Micromonas_A	Micromonas_A2	Eukaryota
756374	Micromonas_A	Micromonas_A2	Eukaryota
556396	Micromonas_A	Micromonas_A2	Eukaryota
6799	Micromonas_A	Micromonas_A2	Eukaryota
634169	Micromonas_A	Micromonas_A2	Eukaryota
2149	Micromonas_A	Micromonas_A2	Eukaryota
593638	Micromonas_A	Micromonas_A2	Eukaryota
350744	Micromonas_A	Micromonas_A2	Eukaryota
106013	Micromonas_A	Micromonas_A2	Eukaryota
392524	Micromonas_A	Micromonas_A2	Eukaryota
70592	Micromonas_B	Micromonas_B1	Eukaryota
64140	Micromonas_B	Micromonas_B1	Eukaryota
289086	Micromonas_B	Micromonas_B1	Eukaryota
50769	Micromonas_B	Micromonas_B1	Eukaryota
23440	Micromonas_B	Micromonas_B1	Eukaryota
495383	Micromonas_B	Micromonas_B1	Eukaryota
281840	Micromonas_B	Micromonas_B1	Eukaryota
726725	Micromonas_B	Micromonas_B1	Eukaryota
361528	Micromonas_B	Micromonas_B1	Eukaryota
679143	Micromonas_B	Micromonas_B1	Eukaryota
300596	Micromonas_B	Micromonas_B1	Eukaryota
104248	Micromonas_B	Micromonas_B2	Eukaryota
702372	Micromonas_B	Micromonas_B2	Eukaryota
707512	Micromonas_B	Micromonas_B2	Eukaryota
138514	Micromonas_B	Micromonas_B2	Eukaryota
53433	Micromonas_B	Micromonas_B2	Eukaryota
547137	Micromonas_B	Micromonas_B2	Eukaryota
172342	Micromonas_B	Micromonas_B2	Eukaryota
518172	Micromonas_B	Micromonas_B2	Eukaryota
340990	Micromonas_B	Micromonas_B2	Eukaryota
145003	Micromonas_B	Micromonas_B2	Eukaryota
367524	Micromonas_B	Micromonas_B2	Eukaryota
341474	Micromonas_B	Micromonas_B2	Eukaryota
702590	Micromonas_B	Micromonas_B2	Eukaryota
707882	Micromonas_B	Micromonas_B2	Eukaryota
558561	Micromonas_B	Micromonas_B2	Eukaryota
599444	Micromonas_B	Micromonas_B2	Eukaryota
199140	Micromonas_B	Micromonas_B2	Eukaryota
152330	Micromonas_B	Micromonas_B2	Eukaryota
90837	Micromonas_B	Micromonas_B2	Eukaryota
640550	Micromonas_B	Micromonas_B2	Eukaryota
18549	Micromonas_B	Micromonas_B2	Eukaryota
3688	Micromonas_B	Micromonas_B2	Eukaryota
39183	Micromonas_B	Micromonas_B2	Eukaryota
8842	Micromonas_B	Micromonas_B2	Eukaryota
764751	Micromonas_B	Micromonas_B2	Eukaryota
367973	Micromonas_B	Micromonas_B2	Eukaryota
728916	Micromonas_B	Micromonas_B2	Eukaryota
490499	Micromonas_B	Micromonas_B2	Eukaryota
359094	Micromonas_B	Micromonas_B2	Eukaryota
317133	Micromonas_B	Micromonas_B2	Eukaryota
357338	Micromonas_B	Micromonas_B2	Eukaryota
709215	Micromonas_B	Micromonas_B2	Eukaryota
208416	Micromonas_B	Micromonas_B2	Eukaryota
154742	Micromonas_B	Micromonas_B2	Eukaryota
37016	Micromonas_B	Micromonas_B2	Eukaryota
87499	Micromonas_B	Micromonas_B2	Eukaryota
735606	Micromonas_B	Micromonas_B2	Eukaryota
267245	Micromonas_B	Micromonas_B2	Eukaryota
72317	Micromonas_B	Micromonas_B2	Eukaryota
467896	Micromonas_B	Micromonas_B2	Eukaryota
255608	Micromonas_B	Micromonas_B2	Eukaryota
81604	Micromonas_B	Micromonas_B2	Eukaryota
136343	Micromonas_B	Micromonas_B2	Eukaryota
312820	Micromonas_B	Micromonas_B2	Eukaryota
338758	Micromonas_B	Micromonas_B2	Eukaryota
167379	Micromonas_B	Micromonas_B2	Eukaryota
182589	Micromonas_B	Micromonas_B2	Eukaryota
70596	Micromonas_B	Micromonas_B2	Eukaryota
477182	Micromonas_B	Micromonas_B2	Eukaryota
3397	Micromonas_B	Micromonas_B2	Eukaryota
292620	Micromonas_B	Micromonas_B2	Eukaryota
638053	Micromonas_B	Micromonas_B2	Eukaryota
317732	Micromonas_B	Micromonas_B2	Eukaryota
80643	Micromonas_B	Micromonas_B2	Eukaryota
226215	Micromonas_B	Micromonas_B2	Eukaryota
3917	Micromonas_B	Micromonas_B2	Eukaryota
91484	Micromonas_B	Micromonas_B3	Eukaryota
60313	Micromonas_B	Micromonas_B3	Eukaryota
793275	Micromonas_B	Micromonas_B3	Eukaryota
461751	Micromonas_B	Micromonas_B3	Eukaryota
648848	Micromonas_B	Micromonas_B3	Eukaryota
55580	Micromonas_B	Micromonas_B3	Eukaryota
249938	Micromonas_B	Micromonas_B3	Eukaryota
280855	Micromonas_B	Micromonas_B3	Eukaryota
114349	Micromonas_B	Micromonas_B3	Eukaryota
37357	Micromonas_B	Micromonas_B3	Eukaryota
73457	Micromonas_B	Micromonas_B3	Eukaryota
662780	Micromonas_B	Micromonas_B3	Eukaryota
520433	Micromonas_B	Micromonas_B3	Eukaryota
247536	Micromonas_B	Micromonas_B3	Eukaryota
425198	Micromonas_B	Micromonas_B3	Eukaryota
31141	Micromonas_B	Micromonas_B3	Eukaryota
599377	Micromonas_B	Micromonas_B3	Eukaryota
125921	Micromonas_B	Micromonas_B3	Eukaryota
89199	Micromonas_B	Micromonas_B3	Eukaryota
124522	Micromonas_B	Micromonas_B3	Eukaryota
78939	Micromonas_B	Micromonas_B3	Eukaryota
38345	Micromonas_B	Micromonas_B3	Eukaryota
4399	Micromonas_B	Micromonas_B3	Eukaryota
216222	Micromonas_B	Micromonas_B3	Eukaryota
68457	Micromonas_B	Micromonas_B3	Eukaryota
664772	Micromonas_B	Micromonas_B3	Eukaryota
248916	Micromonas_B	Micromonas_B3	Eukaryota
88860	Micromonas_B	Micromonas_B3	Eukaryota
67784	Micromonas_B	Micromonas_B3	Eukaryota
108598	Micromonas_B	Micromonas_B3	Eukaryota
732836	Micromonas_B	Micromonas_B3	Eukaryota
241405	Micromonas_B	Micromonas_B3	Eukaryota
