ids	clade	subclade
TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	A	A1
TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	A	A1
TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	A	A1
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	A	A1
TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	A	A1
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	A	A1
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	A	A1
TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	A	A1
TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	A	A1
TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	A	A1
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	A	A1
TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	A	A1
TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	A	A1
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	A	A2
TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	A	A2
TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	A	A2
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	A	A2
TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	A	A2
TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	A	A2
TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	A	A2
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	A	A2
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	A	A2
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	A	A2
TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	A	A2
TARA_194_DCM_lt-0.22_G_scaffold15132_1_gene46748	A	A2
TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	A	A2
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	A	A2
TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	A	A2
TARA_066_DCM_0.22-3_G_C6093718_1_gene228890	A	A2
TARA_066_SRF_lt-0.22_G_scaffold134741_2_gene112059	A	A2
TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	A	A2
TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	A	A2
TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	A	A2
TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	A	A2
TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	A	A2
TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	A	A2
TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	A	A2
TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	A	A2
TARA_173_DCM_0.22-3_G_scaffold127823_1_gene136706	A	A2
TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	A	A2
TARA_066_DCM_lt-0.22_G_C3732186_1_gene131192	A	A2
TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	A	A2
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	A	A2
TARA_210_SRF_lt-0.22_G_scaffold9078_2_gene48755	A	A2
TARA_032_DCM_0.22-1.6_G_C14529078_1_gene362201	A	A2
TARA_067_SRF_0.45-0.8_G_C12492660_1_gene383784	A	A2
TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	A	A2
TARA_146_SRF_0.22-3_G_C15427777_1_gene470766	A	A2
TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	A	A2
TARA_168_DCM_0.22-3_G_scaffold99293_1_gene106802	A	A2
TARA_206_SRF_lt-0.22_G_scaffold244093_1_gene399527	A	A2
TARA_206_SRF_lt-0.22_G_scaffold67020_2_gene178808	A	A2
TARA_210_SRF_lt-0.22_G_scaffold207559_1_gene458458	A	A2
TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	A	A2
TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	A	A2
TARA_009_SRF_0.22-1.6_G_C13632324_1_gene544040	A	A2
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	A	A2
TARA_067_SRF_0.22-0.45_G_C17360860_1_gene463670	A	A2
TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	A	A2
TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	A	A2
TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	A	A2
TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	A	A2
TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	A	A2
TARA_188_DCM_lt-0.22_G_scaffold9244_6_gene34612	A	A2
TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	A	A2
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	A	A2
TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	A	A2
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	A	A2
TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	B	B1
TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	B	B1
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	B	B1
TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	B	B1
TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	B	B1
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	B	B1
TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	B	B1
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	B	B1
TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	B	B1
TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	B	B1
TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	B	B1
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	B	B1
TARA_180_SRF_0.22-3_G_C7013134_1_gene356550	B	B1
TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	B	B1
TARA_210_SRF_0.22-3_G_scaffold21461_1_gene17795	B	B1
TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	B	B1
TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	B	B1
TARA_180_SRF_0.22-3_G_scaffold81862_1_gene125059	B	B1
TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	B	B2
TARA_196_SRF_lt-0.22_G_C13109979_1_gene420651	B	B2
TARA_196_SRF_lt-0.22_G_scaffold243857_1_gene356831	B	B2
TARA_066_DCM_lt-0.22_G_scaffold39761_1_gene18411	B	B2
TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	B	B2
TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	C	C
TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	C	C
TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	C	C
TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	C	C
TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069	C	C
TARA_133_DCM_0.22-3_G_scaffold328164_1_gene387933	Pol	Pol1
TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	Pol	Pol1
TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	Pol	Pol1
TARA_149_SRF_0.22-3_G_C18390232_1_gene602455	Pol	Pol1
TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	Pol	Pol1
TARA_067_SRF_0.22-0.45_G_scaffold66976_1_gene63193	Pol	Pol1
TARA_067_SRF_0.45-0.8_G_scaffold277311_1_gene324113	Pol	Pol1
TARA_208_SRF_0.22-3_G_C17804651_1_gene477260	Pol	Pol1
TARA_209_SRF_lt-0.22_G_scaffold95791_3_gene212186	Pol	Pol1
TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	Pol	Pol1
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	Pol	Pol1
TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	Pol	Pol1
TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	Pol	Pol1
TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	Pol	Pol1
TARA_175_SRF_0.22-3_G_scaffold78409_1_gene83052	Pol	Pol1
TARA_082_DCM_0.22-3_G_C19456620_1_gene406327	Pol	Pol2
TARA_082_SRF_0.22-3_G_scaffold42092_1_gene40922	Pol	Pol2
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	Pol	Pol2
TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	Pol	Pol2
TARA_196_SRF_0.22-3_G_C19417491_1_gene628839	Pol	Pol2
