id	id2	correlation
TARA_009_SRF_0.22-1.6_G_C13632324_1_gene544040	2706	0.412820876
TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	52574	0.420083642
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	74928	0.333400339
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	68457	0.438489854
TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	115509	0.297364265
TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	2395	0.341964215
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	74928	0.274087667
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	60313	0.39872092
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	18581	0.557682991
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	182593	0.285976158
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	37016	0.344766766
TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	306661	0.265693903
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	5967	0.300705969
TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	44189	0.317999166
TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	70592	0.887174428
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	22663	0.405093402
TARA_082_DCM_0.22-3_G_scaffold120588_2_gene114896	8842	0.265622514
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	139233	0.327029816
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	28411	0.286700849
TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	106013	0.420931339
TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	57537	0.633407295
TARA_102_DCM_0.22-3_G_C27267893_1_gene894632	8432	0.42911908
TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	5967	0.392258316
TARA_133_DCM_0.22-3_G_scaffold328164_1_gene387933	166481	0.752695739
TARA_133_DCM_0.22-3_G_scaffold328164_1_gene387933	72317	0.563809991
TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	3397	0.27473025
TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	67784	0.452146232
TARA_149_SRF_0.22-3_G_C18390232_1_gene602455	2395	0.458424091
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	6799	0.30801928
TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	44189	0.309754844
TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	76484	0.34537214
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	14417	0.311403234
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	3397	0.331072308
TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	208416	0.44249786
TARA_158_DCM_0.22-3_G_scaffold266207_1_gene272483	38345	0.443933261
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	70592	0.27751879
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	38345	0.321795981
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	139233	0.424649822
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	2395	0.393478572
TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	37016	0.397691357
TARA_158_SRF_0.22-3_G_scaffold256793_1_gene288753	3397	0.314243997
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	365622	0.358858794
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	319205	0.348848418
TARA_168_DCM_0.22-3_G_scaffold166943_1_gene184245	175017	0.273254693
TARA_168_DCM_lt-0.22_G_scaffold245246_1_gene407868	324291	0.430753469
TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	175017	0.47554224
TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	132386	0.281611323
TARA_168_IZZ_lt-0.22_G_scaffold346429_1_gene516824	16618	0.386485159
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	60313	0.391170935
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	24854	0.503119111
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	720	0.370819167
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	14215	0.316065408
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	18549	0.347482391
TARA_173_DCM_0.22-3_G_scaffold83603_1_gene90552	3511	0.294823187
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	22663	0.565517112
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	22226	0.270379782
TARA_175_SRF_0.22-3_G_scaffold179748_1_gene214594	115747	0.28844416
TARA_175_SRF_0.22-3_G_scaffold78409_1_gene83052	13744	0.650204897
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	215019	0.329296088
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	172342	0.319777567
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	62578	0.346290648
TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	59652	0.294790672
TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	141899	0.277343442
TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	10722	0.296527833
TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	680235	0.359883866
TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	183608	0.409673393
TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	133679	0.300289303
TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	28565	0.266814381
TARA_188_DCM_lt-0.22_G_scaffold9244_6_gene34612	13168	0.307637547
TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	21039	0.77305907
TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	21039	0.310940295
TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	370745	0.461824864
TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	62578	0.308755405
TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	117307	0.273954242
TARA_194_DCM_lt-0.22_G_scaffold15132_1_gene46748	13744	0.2685996
TARA_196_SRF_0.22-3_G_C19385302_1_gene611903	172342	0.315622777
TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	319205	0.516198158
TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	133679	0.401613367
TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	14417	0.299565594
TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	185315	0.291781157
TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	55864	0.327064098
TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	64597	0.292247685
TARA_196_SRF_lt-0.22_G_scaffold69860_1_gene154027	28565	0.302124706
TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	79121	0.478833228
TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	28565	0.274870623
TARA_201_SRF_0.22-3_G_scaffold259208_1_gene330152	23440	0.271861927
TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	20774	0.319076882
TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	17964	0.597248554
TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	5064	0.299610024
TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	3511	0.360262945
TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	6220	0.816281471
