ids	clade	subclade	domain
TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	Clade_A	Clade_A1	Virus
TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	Clade_A	Clade_A1	Virus
TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	Clade_A	Clade_A1	Virus
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	Clade_A	Clade_A1	Virus
TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	Clade_A	Clade_A1	Virus
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	Clade_A	Clade_A1	Virus
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	Clade_A	Clade_A1	Virus
TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	Clade_A	Clade_A1	Virus
TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	Clade_A	Clade_A1	Virus
TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	Clade_A	Clade_A1	Virus
TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	Clade_A	Clade_A1	Virus
TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	Clade_A	Clade_A1	Virus
TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	Clade_A	Clade_A1	Virus
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	Clade_A	Clade_A2	Virus
TARA_151_SRF_0.22-3_G_scaffold307958_1_gene278079	Clade_A	Clade_A2	Virus
TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	Clade_A	Clade_A2	Virus
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	Clade_A	Clade_A2	Virus
TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	Clade_A	Clade_A2	Virus
TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	Clade_A	Clade_A2	Virus
TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	Clade_A	Clade_A2	Virus
TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	Clade_A	Clade_A2	Virus
TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902	Clade_A	Clade_A2	Virus
TARA_067_SRF_0.22-3_G_scaffold38709_1_gene45384	Clade_A	Clade_A2	Virus
TARA_210_MES_lt-0.22_G_scaffold34478_2_gene115714	Clade_A	Clade_A2	Virus
TARA_194_DCM_lt-0.22_G_scaffold15132_1_gene46748	Clade_A	Clade_A2	Virus
TARA_189_DCM_lt-0.22_G_scaffold6811_1_gene25430	Clade_A	Clade_A2	Virus
TARA_082_DCM_0.22-3_G_scaffold104031_1_gene99802	Clade_A	Clade_A2	Virus
