"query.acc.ver" "subject.acc.ver" "%.identity" "alignment.length" "mismatches" "gap.opens" "q.start" "q.end" "s.start" "s.end" "evalue" "bit.score" "strain.V" "sp.V" "phylotype"
"4" "KP734132.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.878 624 7 0 1 624 1384 2007 0 1114 "4224" "MicV-C" "NA"
"5" "KP734141.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 99.191 618 5 0 7 624 1390 2007 0 1114 "4225" "MicV-C" "NA"
"6" "KP734135.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 99.065 642 6 0 1 642 1390 2031 0 1153 "4226" "MicV-C" "NA"
"7" "KP734130.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 97.782 496 10 1 1 495 1458 1953 0 854 "4228" "MicV-C" "NA"
"8" "KP734133.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.878 624 7 0 1 624 1384 2007 0 1114 "4229" "MicV-C" "NA"
"9" "KP734131.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.276 580 10 0 1 580 1378 1957 0 1016 "4230" "MicV-C" "NA"
"10" "KP734137.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 97.644 679 15 1 1 678 1374 2052 0 1164 "4231" "MicV-C" "NA"
"11" "KP734129.1" "TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069" 100 618 0 0 7 624 1414 2031 0 1142 "4232" "MicV-C" "MicV.C.4232"
"12" "KP734134.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.758 644 8 0 1 644 1399 2042 0 1146 "4233" "MicV-C" "NA"
"13" "KP734142.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 99.191 618 5 0 7 624 1390 2007 0 1114 "4234" "MicV-C" "NA"
"14" "KP734139.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.777 654 8 0 7 660 1381 2034 0 1164 "4235" "MicV-C" "NA"
"15" "KP734136.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 98.346 665 11 0 5 669 1370 2034 0 1168 "4236" "MicV-C" "NA"
"16" "KP734138.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 99.221 642 5 0 7 648 1390 2031 0 1158 "4237" "MicV-C" "NA"
"17" "KP734140.1" "TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127" 99.199 624 5 0 7 630 1390 2013 0 1125 "4238" "MicV-C" "NA"
"18" "KP734164.1" "TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687" 97.04 642 19 0 1 642 1411 2052 0 1081 "4240" "MicV-A" "MicV.A.grp1"
"19" "KP734155.1" "TARA_168_SRF_lt-0.22_G_scaffold53300_1_gene140902" 98.154 596 11 0 1 596 1429 2024 0 1040 "4241" "MicV-A" "MicV.A.grp2"
